# Which MSigDB terms the Metabolic collection is made of.
#
# One term per line: MSigDB systematic id, tab, category. A line beginning "!"
# is a term that was JUDGED AND LEFT OUT on purpose — it is recorded so that
# derive-metabolic.mjs's staleness check can tell "nobody has looked at this
# yet" from "somebody looked and said no", and so the second is arguable in a
# diff rather than invisible.
#
# HOW THIS WAS MADE
#
# Every one of the 15,646 term names in the pathway and ontology collections was
# read and judged against written criteria — the union across human and mouse,
# since they share systematic ids, so each term is decided once. It replaced a
# name-matching vocabulary, which is only ever as good as the correlation
# between what a pathway is called and what it is about. That correlation fails
# exactly where it matters: the vocabulary missed KEGG_PENTOSE_AND_
# GLUCURONATE_INTERCONVERSIONS, a metabolic map with no metabolic word in it;
# REACTOME_COMPLEX_I_BIOGENESIS and REACTOME_MITOCHONDRIAL_BIOGENESIS;
# KEGG_INSULIN_SIGNALING_PATHWAY and KEGG_PPAR_SIGNALING_PATHWAY, whose whole
# subject is metabolic control; and KEGG_TYPE_II_DIABETES_MELLITUS. No
# vocabulary catches those without catching half of signalling with them.
#
# WHAT COUNTS AS METABOLIC
#
# The biochemistry of small molecules — synthesis, breakdown, interconversion —
# energy metabolism, redox and one-carbon, storage and mobilisation, the
# transport of metabolites, the pathways that REGULATE metabolism, metabolic
# disease, metabolic enzyme activities, and the compartments that exist to do
# metabolism. Not: macromolecule turnover, which GO also calls metabolism
# (protein, RNA and DNA metabolic processes, translation, proteasome); the
# top-of-hierarchy terms that cover everything; or signalling and development
# where a metabolite is incidental.
#
# ONE STATEMENT, ONE SET
#
# The library said "oxidative phosphorylation" 60 times over, in 60 sets
# that are the same claim at different resolutions — every electron-transfer
# step, every respiratory complex's assembly, each database's own copy. That is
# 60 rows in a results table for one finding and 60 of the tests the
# Benjamini-Hochberg correction is spread across. The family is consolidated to
# four: Hallmark's and KEGG's oxidative phosphorylation, Reactome's aerobic
# respiration, and mitochondrial biogenesis, which is a different question from
# respiring. Terms whose subject is another family that merely happens in the
# mitochondrion — beta-oxidation, the TCA cycle, iron-sulfur clusters,
# mitochondrial fatty acid synthesis — stay with their own kind.
#
# Ribosomes and translation needed no consolidation: they are macromolecule
# turnover and the criteria never admitted them. The one survivor,
# GOBP_NONRIBOSOMAL_PEPTIDE_BIOSYNTHETIC_PROCESS, is genuine small-molecule
# metabolism and is named for what it is NOT.
#
# 2813 terms included, 428 recorded as deliberately excluded.

BIOCARTA_ACETAMINOPHEN_PATHWAY	xenobiotic
BIOCARTA_ARENRF2_PATHWAY	redox
BIOCARTA_CERAMIDE_PATHWAY	lipid
BIOCARTA_CHREBP_PATHWAY	regulation
BIOCARTA_EICOSANOID_PATHWAY	lipid
BIOCARTA_ETC_PATHWAY	energy
BIOCARTA_FXR_PATHWAY	regulation
BIOCARTA_GHRELIN_PATHWAY	regulation
BIOCARTA_IGF1MTOR_PATHWAY	regulation
BIOCARTA_INSULIN_PATHWAY	regulation
BIOCARTA_KREB_PATHWAY	energy
BIOCARTA_LDL_PATHWAY	lipid
BIOCARTA_LEPTIN_PATHWAY	regulation
BIOCARTA_MTOR_PATHWAY	regulation
BIOCARTA_PGC1A_PATHWAY	regulation
BIOCARTA_PPARA_PATHWAY	regulation
BIOCARTA_PPARG_PATHWAY	regulation
BIOCARTA_VITCB_PATHWAY	cofactor
BIOCARTA_VOBESITY_PATHWAY	disease
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	cofactor
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	energy
GOBP_2FE_2S_CLUSTER_ASSEMBLY	cofactor
GOBP_4FE_4S_CLUSTER_ASSEMBLY	cofactor
GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS	nucleotide
GOBP_9_CIS_RETINOIC_ACID_METABOLIC_PROCESS	other
GOBP_ACETATE_ESTER_TRANSPORT	transport
GOBP_ACETATE_METABOLIC_PROCESS	other
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	energy
GOBP_ACETYL_COA_METABOLIC_PROCESS	energy
GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	other
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	transport
GOBP_ACYL_COA_BIOSYNTHETIC_PROCESS	lipid
GOBP_ACYL_COA_METABOLIC_PROCESS	lipid
GOBP_ACYLGLYCEROL_HOMEOSTASIS	lipid
GOBP_ACYLGLYCEROL_TRANSPORT	transport
GOBP_ADAPTIVE_THERMOGENESIS	energy
GOBP_ADENINE_TRANSPORT	transport
GOBP_ADENOSINE_CATABOLIC_PROCESS	nucleotide
GOBP_ADENOSINE_METABOLIC_PROCESS	nucleotide
GOBP_ADENOSINE_TRANSPORT	transport
GOBP_ADIPONECTIN_ACTIVATED_SIGNALING_PATHWAY	regulation
GOBP_ADIPOSE_TISSUE_DEVELOPMENT	storage
